,Event,Date and Time,Duration (in minutes),Venue,Address,Lowest Price,Highest Price,Booking Status,URL,Address_latitude,Address_longitude
183,BEATS BINGO - RnB Fridays [MACQUARIE] at TGI Fridays,25/07/2024 18:30,120,TGI Fridays Macquarie,"454 Herring Road North Ryde, NSW 2113",0,0,,https://www.eventbrite.com.au/e/beats-bingo-rnb-fridays-macquarie-at-tgi-fridays-tickets-911042270957?aff=ebdssbdestsearch,-33.77822229,151.1173208
184,LES FEMMES - Dinner & Show at Cardea,25/07/2024 19:00,,Cardea Sydney,"300 Barangaroo Avenue #Shop 2, T3.01 Barangaroo, NSW 2000",33.08,128.37,,https://www.eventbrite.com.au/e/les-femmes-dinner-show-at-cardea-tickets-799156046247?aff=ebdssbdestsearch,-33.86512546,151.202201
185,"colourblind S/T Album Launch, Sydney",26/07/2024 19:30,,Burdekin Hotel,"2 Oxford St Darlinghurst, NSW 2010",20,20,,https://www.eventbrite.com.au/e/colourblind-st-album-launch-sydney-tickets-917142988367?aff=ebdssbdestsearch,-33.87713995,151.212953
186,FRI 26 JUL - WAO SUPERCLUB @ IVY,26/07/2024 21:30,,ivy precinct,"330 George Street Sydney, NSW 2000",22,60.5,,https://www.eventbrite.com.au/e/fri-26-jul-wao-superclub-ivy-tickets-920470952397?aff=ebdssbdestsearch,-33.86662343,151.2074597
187,The Wacky Wonderland Tour,27/07/2024 3:00,900,"MoshPit, King Street, Erskineville NSW, Australia","642A King Street Erskineville, NSW 2043",19,25,,https://www.eventbrite.com/e/the-wacky-wonderland-tour-tickets-850287511837?aff=ebdssbdestsearch,-33.90547317,151.1811163
188,Lucky Presents | Christmas In July | Sunset Boat Party,27/07/2024 15:30,,King Street Wharf 9,"Harbour Street Sydney, NSW 2000",29,39,,https://www.eventbrite.com.au/e/lucky-presents-christmas-in-july-sunset-boat-party-tickets-893685526467?aff=ebdssbdestsearch,-33.87833322,151.2032986
189,Journey Of Sound pres. SUBANDRIO (SL) - SYDNEY,27/07/2024 21:00,,The Civic Hotel,"388 Pitt Street Sydney, NSW 2000",38,49.99,,https://www.eventbrite.com/e/journey-of-sound-pres-subandrio-sl-sydney-tickets-919047524887?aff=ebdssbdestsearch,-33.87794302,151.2077358
190,The Honeymakers Big Band - In The Spotlight,28/07/2024 15:00,,Tradies Gymea,"57 Manchester Road Gymea, NSW 2227",15,15,,https://www.eventbrite.com.au/e/the-honeymakers-big-band-in-the-spotlight-tickets-921335538397?aff=ebdssbdestsearch,-34.03233814,151.0876949
191,UNSW Wind Symphony Concert: Native Winds,30/07/2024 19:00,120,Sir John Clancy Auditorium,"9 High Street Kensington, NSW 2052",10.55,21.1,,https://www.eventbrite.com.au/e/unsw-wind-symphony-concert-native-winds-tickets-907262906777?aff=ebdssbdestsearch,42.98087166,-70.94352493
192,Collegium Musicum Choir Concert: Lacrimosa,2/08/2024 19:00,120,Sir John Clancy Auditorium,"9 High Street Kensington, NSW 2052",19.53,28,,https://www.eventbrite.com.au/e/collegium-musicum-choir-concert-lacrimosa-tickets-911137676317?aff=ebdssbdestsearch,42.98087166,-70.94352493
193,"[SYD] MEMORIES IX 02.08.2024 | HA TRAN, TRAN THAI HOA, LAN NHA, THUY DUNG",2/08/2024 19:30,,Cabra-Vale Diggers Club,"1 Bartley Street Canley Vale, NSW 2166",107.19,170.73,,https://www.eventbrite.com.au/e/syd-memories-ix-02082024-ha-tran-tran-thai-hoa-lan-nha-thuy-dung-tickets-921470983517?aff=ebdssbdestsearch,-33.88946638,150.9398457
194,New Club Vibrations | Gangster Theme,3/08/2024 20:00,300,"Polish Club Ashfield, Liverpool Road, Ashfield NSW, Australia","182 Liverpool Road Ashfield, NSW 2131",27.07,229.57,,https://www.eventbrite.com.au/e/new-club-vibrations-gangster-theme-tickets-918595432667?aff=ebdssbdestsearch,-33.89015244,151.1268796
195,Berlin Underground,4/08/2024 22:00,,Civic Underground,"388 Pitt St Sydney CBD, NSW 2000",0,22.19,,https://www.eventbrite.com.au/e/berlin-underground-tickets-368952776687?aff=ebdssbdestsearch,-33.87794302,151.2077358
196,Berlin Underground @ Civic Hotel,4/08/2024 22:00,,Berlin Underground,"388 Pitt Street Sydney, NSW 2000",0,22,,https://www.eventbrite.com.au/e/berlin-underground-civic-hotel-tickets-368815496077?aff=ebdssbdestsearch,-33.87794302,151.2077358
197,Tony Nyadundo Live in Sydney,6/08/2024 18:00,330,Rosehill Bowling Club,"Rosehill, NSW 2142",95,95,,https://www.eventbrite.com/e/tony-nyadundo-live-in-sydney-tickets-920847619017?aff=ebdssbdestsearch,-33.82611599,151.0304839
198,The Beatnix,10/08/2024 20:00,150,Club Kirrawee,"101 Oak Road Kirrawee, NSW 2232",27.78,27.78,Going fast,https://www.eventbrite.com.au/e/the-beatnix-tickets-899541692417?aff=ebdssbdestsearch,-34.02971955,151.0713678
199,VOGUE Masquerade Party DJ Sam Boutros,10/08/2024 20:00,300,Gardens on Forest,"764 Forest Road Peakhurst, NSW 2210",27.78,27.78,,https://www.eventbrite.com.au/e/vogue-masquerade-party-dj-sam-boutros-tickets-913716710277?aff=ebdssbdestsearch,-33.9575561,151.0658657
200,Simo's Presents - Viscera Infest (JAP),16/08/2024 19:30,270,Simo's,"Warf 3 3 The Promenade Sydney, NSW 2000",43.73,43.73,,https://www.eventbrite.com/e/simos-presents-viscera-infest-jap-tickets-846794474067?aff=ebdssbdestsearch,-33.84956789,151.1366172
201,BEATS BINGO - Emo [MACQUARIE] at TGI Fridays,22/08/2024 18:30,120,TGI Fridays Macquarie,"454 Herring Road North Ryde, NSW 2113",0,0,,https://www.eventbrite.com.au/e/beats-bingo-emo-macquarie-at-tgi-fridays-tickets-911049713217?aff=ebdssbdestsearch,-33.77822229,151.1173208
202,Ben Lee with Special Guests,22/08/2024 18:30,210,"Warners Bay Theatre, baramayiba","39 Lake Street Warners Bay, NSW 2282",48.6,53.87,,https://www.eventbrite.com.au/e/ben-lee-with-special-guests-tickets-912403652887?aff=ebdssbdestsearch,-32.972289,151.6457344
203,ROSS WILSON & The Paceniks,23/08/2024 19:00,,Brighton Lakes Recreation & Golf Club,"43 Brickmakers Drive Moorebank, NSW 2170",126.46,126.46,,https://www.eventbrite.com.au/e/ross-wilson-the-paceniks-tickets-918611330217?aff=ebdssbdestsearch,-33.93702249,150.9598589
204,"[SYD] ILLUMINATILO ft. DJ TILO, HYE NA, RAPPER ASHI & more | FRI 23 AUG",23/08/2024 19:30,,Việt Phố Entertainment,"2 George Street Yagoona, NSW 2199",74.37,195.43,,https://www.eventbrite.com.au/e/syd-illuminatilo-ft-dj-tilo-hye-na-rapper-ashi-more-fri-23-aug-tickets-906167018947?aff=ebdssbdestsearch,-33.90569106,151.0354097
205,Swiftie Mirrorball Party: Night 1 Sydney,23/08/2024 23:00,,Oxford Art Factory,"46 Oxford Street #38 Darlinghurst, NSW 2010",11.29,31.89,,https://www.eventbrite.com.au/e/swiftie-mirrorball-party-night-1-sydney-tickets-919910756837?aff=ebdssbdestsearch,-33.87784571,151.2139323
206,"Bloom Sings: The Stevie Nicks, Linda Ronstadt & Carole King Songbook",29/08/2024 19:30,150,Cardea Sydney,"300 Barangaroo Avenue #Shop 2, T3.01 Barangaroo, NSW 2000",48.96,133.67,,https://www.eventbrite.com.au/e/bloom-sings-the-stevie-nicks-linda-ronstadt-carole-king-songbook-tickets-847748186647?aff=ebdssbdestsearch,-33.86512546,151.202201
207,Glass Island - LOVE CLVB ft. POOLCLVB + FRIENDS - Sat 31 Aug 2024,31/08/2024 13:00,,Glass Island - check event info for Wharf Details,"King Street Wharf Darling Harbour Sydney, NSW 2000",39.2,39.2,,https://www.eventbrite.com.au/e/glass-island-love-clvb-ft-poolclvb-friends-sat-31-aug-2024-tickets-905818556687?aff=ebdssbdestsearch,-33.869019,151.201576
208,SYD Campus | Open Day | Sept 7,7/09/2024 10:00,240,The Australian Institute of Music,"27 Nurses Walk The Rocks Sydney, NSW 2000",0,0,,https://www.eventbrite.com.au/e/syd-campus-open-day-sept-7-tickets-901044577587?aff=ebdssbdestsearch,-33.86006476,151.2082115
209,The Annual Campion Ball: The Golden Age of Hollywood,14/09/2024 19:00,240,8-14 Austin Woodbury Pl,"ace Toongabbie, NSW 2146",70,85,,https://www.eventbrite.com/e/the-annual-campion-ball-the-golden-age-of-hollywood-tickets-889921588427?aff=ebdssbdestsearch,-33.7872766,150.9509084
210,BEATS BINGO - Girl Bands VS Boy Bands [MACQUARIE] at TGI Fridays,19/09/2024 18:30,120,TGI Fridays Macquarie,"454 Herring Road North Ryde, NSW 2113",0,0,,https://www.eventbrite.com.au/e/beats-bingo-girl-bands-vs-boy-bands-macquarie-at-tgi-fridays-tickets-911053785397?aff=ebdssbdestsearch,-33.77822229,151.1173208
